year,month,date,CO2
1974,5,19,333.46
1974,5,20,333.64
1974,5,21,333.5
1974,5,22,333.21
1974,5,23,333.05
1974,5,26,333.32
1974,5,27,332.79
1974,5,28,332.43
1974,5,29,332.6
1974,5,30,333.3
1974,5,31,333.25
1974,6,4,333.08
1974,6,5,332.75
1974,6,6,331.83
1974,6,7,332.09
1974,6,8,332.0
1974,6,9,332.36
1974,6,10,332.25
1974,6,11,332.28
1974,6,12,332.03
1974,6,13,331.85
1974,6,14,332.63
1974,6,15,332.02
1974,6,16,332.1
1974,6,17,332.18
1974,6,18,332.74
1974,6,19,332.33
1974,6,20,332.35
1974,6,21,332.53
1974,6,22,332.35
1974,6,23,332.25
1974,6,24,331.44
1974,6,25,332.08
1974,6,27,331.28
1974,6,28,331.61
1974,6,30,331.85
1974,7,2,331.44
1974,7,3,332.06
1974,7,4,331.65
1974,7,5,331.58
1974,7,6,331.53
1974,7,8,331.57
1974,7,9,331.65
1974,7,10,331.47
1974,7,11,331.55
1974,7,12,331.26
1974,7,13,331.27
1974,7,15,331.04
1974,7,16,330.8
1974,7,18,330.69
1974,7,19,330.96
1974,7,20,330.68
1974,7,21,330.65
1974,7,22,330.82
1974,7,23,330.7
1974,7,24,331.17
1974,7,25,331.21
1974,7,26,330.29
1974,7,27,330.45
1974,7,31,330.15
1974,8,1,329.59
1974,8,2,329.69
1974,8,3,329.79
1974,8,4,330.23
1974,8,6,329.77
1974,8,8,330.15
1974,8,9,329.73
1974,8,10,329.37
1974,8,11,329.02
1974,8,12,329.38
1974,8,13,329.34
1974,8,15,328.63
1974,8,17,329.36
1974,8,18,329.37
1974,8,19,329.3
1974,8,20,329.07
1974,8,21,329.41
1974,8,23,328.76
1974,8,24,328.47
1974,8,25,328.69
1974,8,26,328.89
1974,8,27,328.36
1974,8,28,327.96
1974,8,29,328.12
1974,8,30,328.24
1974,8,31,328.06
1974,9,1,328.15
1974,9,3,328.19
1974,9,5,328.19
1974,9,6,327.88
1974,9,7,327.87
1974,9,9,327.8
1974,9,10,327.84
1974,9,11,327.46
1974,9,14,327.14
1974,9,15,327.06
1974,9,17,326.06
1974,9,18,326.79
1974,9,19,327.23
1974,9,20,326.78
1974,9,21,326.42
1974,9,23,327.05
1974,9,24,326.42
1974,9,25,326.25
1974,9,27,327.5
1974,9,28,327.72
1974,9,29,327.28
1974,9,30,327.59
1974,10,1,327.48
1974,10,3,327.53
1974,10,5,326.69
1974,10,6,327.01
1974,10,7,327.29
1974,10,8,327.17
1974,10,10,327.0
1974,10,11,326.72
1974,10,12,327.25
1974,10,13,327.15
1974,10,14,327.22
1974,10,16,327.26
1974,10,17,327.18
1974,10,19,327.34
1974,10,20,327.36
1974,10,23,327.32
1974,10,24,327.46
1974,10,25,327.41
1974,10,26,327.44
1974,10,27,327.6
1974,10,28,327.87
1974,10,29,327.53
1974,10,30,327.46
1974,10,31,327.48
1974,11,1,327.72
1974,11,2,327.8
1974,11,3,327.91
1974,11,4,327.95
1974,11,5,327.79
1974,11,6,327.86
1974,11,7,328.0
1974,11,8,327.76
1974,11,9,327.35
1974,11,10,327.91
1974,11,11,327.97
1974,11,13,328.24
1974,11,14,328.14
1974,11,15,329.77
1974,11,16,328.98
1974,11,17,329.12
1974,11,18,328.64
1974,11,19,328.29
1974,11,21,328.56
1974,11,22,328.56
1974,11,23,328.48
1974,11,26,328.47
1974,11,27,328.47
1974,11,28,328.59
1974,11,29,328.18
1974,11,30,328.6
1974,12,1,328.66
1974,12,2,328.7
1974,12,4,328.91
1974,12,5,328.99
1974,12,7,328.75
1974,12,8,329.23
1974,12,9,329.95
1974,12,10,329.42
1974,12,11,329.35
1974,12,12,329.06
1974,12,13,329.51
1974,12,14,329.24
1974,12,15,329.44
1974,12,16,329.44
1974,12,17,330.19
1974,12,18,329.78
1974,12,19,329.46
1974,12,20,330.21
1974,12,21,329.95
1974,12,22,329.94
1974,12,23,330.18
1974,12,24,329.83
1974,12,25,329.75
1974,12,26,330.32
1974,12,27,329.74
1974,12,28,329.96
1974,12,29,329.72
1974,12,30,330.69
1974,12,31,330.28
1975,1,1,330.39
1975,1,2,330.17
1975,1,3,330.65
1975,1,4,330.77
1975,1,5,330.66
1975,1,7,330.33
1975,1,8,330.51
1975,1,9,330.43
1975,1,10,330.82
1975,1,11,330.2
1975,1,12,330.51
1975,1,13,330.38
1975,1,14,331.26
1975,1,15,331.54
1975,1,16,330.29
1975,1,17,330.18
1975,1,18,329.99
1975,1,19,330.53
1975,1,20,330.75
1975,1,21,330.62
1975,1,22,330.6
1975,1,23,330.5
1975,1,24,330.82
1975,1,25,331.73
1975,1,26,331.75
1975,1,27,331.33
1975,1,28,331.79
1975,1,29,331.31
1975,1,30,330.96
1975,1,31,330.74
1975,2,1,330.79
1975,2,3,330.64
1975,2,4,332.02
1975,2,5,332.18
1975,2,6,331.78
1975,2,7,331.69
1975,2,8,331.55
1975,2,9,331.6
1975,2,10,330.95
1975,2,11,331.19
1975,2,12,330.88
1975,2,13,331.04
1975,2,14,331.09
1975,2,15,331.03
1975,2,16,331.17
1975,2,17,331.6
1975,2,18,331.03
1975,2,19,331.68
1975,2,21,331.36
1975,2,22,331.7
1975,2,23,332.53
1975,2,24,331.92
1975,2,25,331.94
1975,2,26,331.76
1975,2,27,331.79
1975,2,28,331.19
1975,3,1,332.58
1975,3,5,331.96
1975,3,6,331.55
1975,3,7,331.79
1975,3,9,331.58
1975,3,10,331.73
1975,3,11,331.54
1975,3,13,331.73
1975,3,15,331.63
1975,3,18,332.33
1975,3,19,331.83
1975,3,20,332.22
1975,3,21,332.07
1975,3,22,332.12
1975,3,23,332.08
1975,3,24,331.88
1975,3,28,331.73
1975,4,1,333.42
1975,4,2,333.54
1975,4,3,333.81
1975,4,4,333.19
1975,4,5,332.56
1975,4,6,332.67
1975,4,8,332.41
1975,4,9,332.01
1975,4,10,333.07
1975,4,11,333.76
1975,4,15,333.49
1975,4,17,332.84
1975,4,19,333.16
1975,4,20,333.07
1975,4,21,333.42
1975,4,22,333.58
1975,4,23,333.75
1975,4,25,333.09
1975,4,26,332.76
1975,4,27,333.01
1975,4,28,332.83
1975,4,29,332.83
1975,4,30,333.5
1975,5,1,333.9
1975,5,2,333.96
1975,5,3,334.34
1975,5,4,334.0
1975,5,5,333.91
1975,5,6,333.97
1975,5,7,333.91
1975,5,8,333.98
1975,5,9,333.82
1975,5,10,333.97
1975,5,11,333.99
1975,5,12,333.94
1975,5,13,333.98
1975,5,14,334.63
1975,5,15,334.57
1975,5,16,334.39
1975,5,18,333.43
1975,5,21,333.4
1975,5,22,333.15
1975,5,23,333.9
1975,5,24,333.42
1975,5,25,333.91
1975,5,26,334.21
1975,5,27,334.25
1975,5,28,334.02
1975,5,29,334.03
1975,5,30,334.12
1975,5,31,333.44
1975,6,1,334.31
1975,6,2,334.02
1975,6,3,334.01
1975,6,4,333.5
1975,6,5,334.01
1975,6,6,334.14
1975,6,7,333.7
1975,6,8,334.02
1975,6,9,333.54
1975,6,10,333.23
1975,6,11,333.12
1975,6,13,332.69
1975,6,14,332.56
1975,6,15,332.93
1975,6,16,333.24
1975,6,17,333.85
1975,6,18,333.34
1975,6,19,333.12
1975,6,20,333.43
1975,6,21,332.7
1975,6,22,333.32
1975,6,23,334.13
1975,6,24,334.24
1975,6,26,333.39
1975,6,27,332.93
1975,6,28,333.0
1975,6,29,332.84
1975,7,1,333.67
1975,7,2,333.02
1975,7,3,332.81
1975,7,4,332.97
1975,7,5,332.72
1975,7,6,332.7
1975,7,8,332.17
1975,7,9,332.12
1975,7,10,332.92
1975,7,11,331.9
1975,7,12,332.1
1975,7,13,331.68
1975,7,14,332.02
1975,7,15,332.77
1975,7,16,331.5
1975,7,19,331.16
1975,7,22,330.66
1975,7,23,331.5
1975,7,25,331.83
1975,7,26,331.47
1975,7,28,330.94
1975,7,29,332.0
1975,7,30,331.12
1975,7,31,331.15
1975,8,1,330.87
1975,8,3,330.98
1975,8,4,330.97
1975,8,5,331.35
1975,8,6,330.86
1975,8,7,330.89
1975,8,8,331.01
1975,8,12,330.37
1975,8,13,330.32
1975,8,14,330.28
1975,8,15,330.58
1975,8,16,330.36
1975,8,18,330.18
1975,8,19,329.58
1975,8,20,329.66
1975,8,21,329.34
1975,8,22,329.19
1975,8,23,328.95
1975,8,24,329.3
1975,8,25,328.08
1975,8,28,328.85
1975,8,29,328.76
1975,8,30,328.66
1975,8,31,328.63
1975,9,3,329.43
1975,9,4,329.26
1975,9,5,329.59
1975,9,6,329.68
1975,9,8,329.31
1975,9,9,329.25
1975,9,10,329.71
1975,9,14,328.95
1975,9,15,327.86
1975,9,16,327.93
1975,9,17,327.39
1975,9,18,327.77
1975,9,19,327.66
1975,9,20,328.04
1975,9,21,327.97
1975,9,22,327.9
1975,9,23,328.16
1975,9,25,327.83
1975,9,26,327.87
1975,9,28,328.24
1975,9,29,328.29
1975,9,30,327.99
1975,10,1,327.64
1975,10,2,327.71
1975,10,15,328.4
1975,10,20,328.55
1975,10,23,328.89
1975,10,24,328.81
1975,10,25,328.65
1975,10,26,328.68
1975,10,27,328.61
1975,10,28,328.54
1975,10,29,328.75
1975,11,1,329.44
1975,11,2,329.41
1975,11,3,328.92
1975,11,4,328.6
1975,11,5,329.01
1975,11,7,329.39
1975,11,8,328.82
1975,11,9,328.93
1975,11,10,329.1
1975,11,11,329.09
1975,11,12,329.05
1975,11,13,328.81
1975,11,14,329.06
1975,11,16,329.12
1975,11,21,329.31
1975,11,28,330.27
1975,11,29,330.09
1975,11,30,329.72
1976,1,6,331.58
1976,1,8,331.2
1976,1,10,331.2
1976,1,11,331.17
1976,1,12,331.26
1976,1,14,331.83
1976,1,16,331.64
1976,1,17,331.77
1976,1,18,331.73
1976,1,20,331.77
1976,1,21,331.75
1976,1,22,331.42
1976,1,23,331.82
1976,1,24,331.47
1976,1,25,331.7
1976,1,26,332.06
1976,1,27,332.19
1976,1,28,331.59
1976,1,31,331.85
1976,2,1,332.27
1976,2,2,333.33
1976,2,3,332.35
1976,2,4,332.06
1976,2,5,332.24
1976,2,8,332.4
1976,2,10,332.08
1976,2,12,332.94
1976,2,13,332.1
1976,2,14,333.01
1976,2,15,332.74
1976,2,16,332.64
1976,2,17,332.35
1976,2,18,332.64
1976,2,19,332.71
1976,2,21,332.6
1976,2,22,333.58
1976,2,23,334.14
1976,2,24,333.19
1976,2,26,333.62
1976,2,28,332.92
1976,2,29,332.64
1976,3,2,332.58
1976,3,5,332.06
1976,3,7,332.54
1976,3,8,332.96
1976,3,9,332.23
1976,3,10,333.02
1976,3,11,332.87
1976,3,12,333.24
1976,3,13,333.33
1976,3,14,334.44
1976,3,15,333.85
1976,3,16,333.7
1976,3,17,333.18
1976,3,18,333.03
1976,3,20,333.18
1976,3,24,334.11
1976,3,27,334.54
1976,3,29,334.6
1976,4,1,334.32
1976,4,2,334.57
1976,4,3,334.75
1976,4,4,334.98
1976,4,8,335.15
1976,4,9,335.35
1976,4,10,334.77
1976,4,11,333.01
1976,4,18,334.23
1976,4,19,334.81
1976,4,20,334.58
1976,4,22,335.73
1976,4,23,334.42
1976,4,24,334.41
1976,4,26,334.65
1976,4,27,333.98
1976,4,29,336.75
1976,4,30,335.18
1976,5,1,334.74
1976,5,3,334.35
1976,5,4,334.95
1976,5,5,333.94
1976,5,8,333.45
1976,5,9,334.4
1976,5,10,334.68
1976,5,12,334.77
1976,5,13,333.95
1976,5,14,334.09
1976,5,15,334.06
1976,5,18,335.3
1976,5,20,335.01
1976,5,21,335.51
1976,5,22,335.33
1976,5,23,335.27
1976,5,24,335.19
1976,5,25,335.31
1976,5,26,335.34
1976,5,30,334.58
1976,5,31,334.88
1976,6,1,334.57
1976,6,2,334.44
1976,6,3,334.05
1976,6,5,334.07
1976,6,6,334.44
1976,6,7,333.8
1976,6,8,334.36
1976,6,9,334.23
1976,6,13,334.28
1976,6,15,334.01
1976,6,16,334.14
1976,6,17,334.29
1976,6,18,334.12
1976,6,20,333.97
1976,6,21,334.12
1976,7,7,333.86
1976,7,8,333.7
1976,7,9,333.77
1976,7,10,333.06
1976,7,11,333.35
1976,7,13,333.6
1976,7,14,333.5
1976,7,21,332.7
1976,7,22,332.42
1976,7,24,332.17
1976,7,25,332.68
1976,7,28,332.26
1976,7,29,332.33
1976,7,30,331.88
1976,7,31,332.03
1976,8,2,331.64
1976,8,3,331.82
1976,8,4,331.98
1976,8,6,331.65
1976,8,7,331.34
1976,8,9,331.58
1976,8,10,331.46
1976,8,11,329.37
1976,8,12,331.49
1976,8,13,330.44
1976,8,14,329.84
1976,8,15,330.61
1976,8,16,330.25
1976,8,18,330.29
1976,8,19,330.79
1976,8,21,330.26
1976,8,22,330.41
1976,8,23,330.76
1976,8,24,330.48
1976,8,25,329.92
1976,8,26,329.78
1976,8,27,330.02
1976,8,31,330.28
1976,9,1,330.59
1976,9,6,329.23
1976,9,10,329.84
1976,9,12,330.03
1976,9,16,329.06
1976,9,19,329.2
1976,9,20,329.11
1976,9,21,328.25
1976,9,22,327.68
1976,9,24,329.32
1976,9,25,328.1
1976,9,26,327.09
1976,9,27,328.13
1976,10,1,327.73
1976,10,3,329.19
1976,10,4,327.95
1976,10,5,328.16
1976,10,7,328.77
1976,10,8,328.63
1976,10,10,329.47
1976,10,11,328.99
1976,10,12,327.98
1976,10,13,327.75
1976,10,17,328.87
1976,10,18,329.67
1976,10,23,329.29
1976,10,24,328.44
1976,10,25,328.79
1976,10,26,328.53
1976,10,27,328.86
1976,10,28,329.14
1976,10,29,329.18
1976,11,1,328.54
1976,11,2,329.29
1976,11,3,329.71
1976,11,5,330.08
1976,11,10,330.71
1976,11,11,330.36
1976,11,12,330.74
1976,11,13,329.95
1976,11,14,330.31
1976,11,15,330.3
1976,11,16,329.84
1976,11,17,330.12
1976,11,18,330.15
1976,11,19,330.13
1976,11,20,330.32
1976,11,21,330.54
1976,11,22,330.98
1976,11,23,330.5
1976,11,24,330.22
1976,11,25,330.39
1976,11,26,330.52
1976,11,27,330.73
1976,11,28,330.6
1976,11,29,330.5
1976,11,30,330.6
1976,12,1,330.67
1976,12,2,330.77
1976,12,3,331.17
1976,12,4,330.45
1976,12,8,330.85
1976,12,10,331.32
1976,12,11,331.39
1976,12,16,332.81
1976,12,18,331.96
1976,12,19,331.53
1976,12,20,331.73
1976,12,21,331.32
1976,12,22,331.64
1976,12,24,331.72
1976,12,25,332.28
1976,12,26,332.2
1976,12,28,332.18
1976,12,29,332.64
1976,12,30,332.47
1976,12,31,332.37
1977,1,1,332.4
1977,1,2,332.3
1977,1,3,332.89
1977,1,4,332.47
1977,1,6,332.13
1977,1,7,332.32
1977,1,8,332.21
1977,1,9,332.24
1977,1,10,332.18
1977,1,11,331.94
1977,1,12,332.11
1977,1,13,332.89
1977,1,14,333.61
1977,1,19,332.5
1977,1,20,332.54
